document_id,cleaned_text,sentiment
1,huge fan first one almost big fan second one decid go see one dx motion sensori seat let sure sit nicest seat best visual motion sensori experi great felt like watch looney tune stori instead type stori part compliment mcu timelin thi liter one marvel dullest unnecessari movi date entir stori clich predict cgi type interest stori let alon one substanc even normal awesom hilari humor previou instal absent one almost entir film take place insid cgi stori need movi set locat greenscreen nonsen gener still enjoy fun ride upgrad seat although money spent wouldv fun amu park,positive
2,entri phase pa without much set next big bad mcu eagerli anticip film given would big screen introduct kang major shine kang rest film even narr choic kang leav bit meh feelinga far posit paul rudd remain endear ever modok tad jar like tiein yellowjacket visual solid color movi major truli magnet presenc screen found dialogu conver compellingfor neg arent realli arc charact antman end liter place sidewalk think good life begin film scott cohort arent given much either mcu hallmark joke undercut seriou moment unfortun continu honestli comedi realli didnt land well first two film also got major rise skywalk vibe clich everyon rebellion show fight space trooper endhowev big issu film end thi movi felt like shouldv major consequ establish kang avengerslevel threat scott hope dispatch portal open save liter second thought might get trap quantum realm kang would escap eyerollinduc council kang scene also almost goofi menacingim hope feig right ship get multiv saga infin saga level hype right im left feel much never thought id say think im current look forward see flash movi reset dcu mcu multiv play,positive
3,well happen mcu run ga last mcu film lacklust best count sort stand alon spiderman way home antman wasp quantumania suppo start phase thing goe like go get wor thi film cour compet made look good horribl complet uninspir like pretti much everyth mce factori sinc endgam total forgett reason mcu success film charact care stake cour lightoment hero root pretti good villain care screen didnt care saw quantumania everi film iron man endgam great mostli least better averag two previou antman film among weakest still memor one act quantumania fine one realli care even paul rudd usual engag seem flat disinterest seem phone notabl perform jonathan major kang conqueror alon cant save film complet snooz fest actual bore fir much filmjust averag mcu churn film film diminish result think kevin feig compani go back see made film good first start get formula forgettablebelow averagegrad c,positive
4,well ill start say wasnt bad movi wasnt great alright like dune star war babi im sure good thingjonathan major definit stole show see lot literallyth cgi rough place edit time could use extra month develop modok atroci executionthat marvel late quantiti qualiti unfortunatelyanoth thing say wish marvel movi would take seriou humor get repetit,positive
5,enjoy watch quantumania mostli solid fairli entertain movi rel mcu standard bit underwhelm feel like throwaway movi someth memor keep come back tomi biggest issu wasnt fulli engag least first half movi enjoy wasnt lock stori unfocuss villain becom preval movi jump level doesnt complet make much weaker first halfth thing surpri mesmer visual creativ didnt notic poor cgi like didnt wow like frequent mayb get spoil visual movi like doctor strang recent avatar still lot good pretti funni doesnt overdo thi second movi row mcu seem dial back insert joke strategi probabl result neg reaction cartoonish thor also love villain wont say case smart crazi like dont watch trailer damn awesomea someon love almost everyth mcu quantumania near bottom mcu rank make littl nervou come two movi thor star still faith join mcu doom gloom crowd phase three favorit entri entir mcu shangchi loki way home dislik two etern thor need consist also play safe view open thursday imax imax,positive
6,marvel realli fallen cant get thi third legaci charact theyv absolut wast fact doctor strang thor antman wast great establish charact superb cast add made kang main villain chump appear marvel plan move forward kiang conqueror kang chumpthi movi add malai poorli written disappoint permeat mcu sinc endgam one worst third act movi recent histori modok use dick turn could dumbest thing ive ever seen even spoiler also end movi ran budget absolut wast,positive
7,visual quit stun delight creativ design shape form storylin le origin without much way intellectu emot ethic depth recent marvel movi appar movi focu accept broad audienc rang includ young peopl quantumania lose sharp refresh focu creat live entiti quantum univ anthropomorph humanba perhap relat child reflect diver origin form life newlif would realli make film stellar even special set design special effect make gorgeou set still room crisp detail immer design work background end mere basic anim project come level expect contemporari marvel product ye movi provid amaz backdrop canva yet substanc plot movi rise level one end movi lot flash le satisfactori bite,neutral
8,new antman bad movi repeat current trend plagu new marvel product main charact excu introduc new charact definit go stori make paul rudd charact le import dont feel stori stori even good feel lack great charact previou movi set tone stori dont even know happen previou movi hard believ director person made two prior movi ad kang definit made kang movi antman,positive
9,liter line film sum mcu becom sinc covid hit world disney jump shark film universescott lang hope van dyne return continu adventur antman wasp togeth hope parent janet hank pym scott daughter cassi lang famili find explor pretti redund quantum realm interact strang new cgi creatur monstro embark adventur push beyond limit boredom thought possiblei love antman first two film differ anyth marvel relea paul rudd amaz titular hero humour marvel humour childish better dare differ payoff someth fresh even marvel behemoth becom littl tire especi debacl age ultron wright wasnt given cold shoulder could watch someth differ dont think blame place reed shoulder studio final say doesnt panach first film hadit bore dull effect meld one like maker taken cantina scene new hope decid make whole movi surround ad suppo bigger adversari thao kang villain major seem home campest bone bodi noth remot sinist charact tell peopl shut make costum slightli tighter add worthless cameo murray earth k marvel film lay bowel mcu along etern love thunder dark worlddougla pfeiffer unforgiv wast dougla someth happen end ant pfeieffer tell stori kang littl support offer asid guy read mind one run joke wear realli thin valkyri wannab thi franchi mcu want succeed rudd brilliant funni role one dimens hero multipli becom even unfunni version himselfit real shame realli shame hey mcu taika touch realli isnt goodi realli low expect rest phase thi go foreverhelp u,positive
10,antman wasp quantumania first film phase marvel cinemat univ onc direct peyton reed star paul rudd evangelin lilli titl role rank among mcu weakest effort execut fun emot payoffssom time event aveng endgam scott lang paul rudd enjoy spotlight recent public autobiographi scott hang hope van dyne evangelin lilli parent hank michael dougla janet michel pfieffer scott daughter cassi kathryn newton group accid suck quantum realm discov destitut initi thought soon group learn danger new threat inhabit realm known kang conqueror jonathan major stop noth escap fate prison place kang make posit clear scott stop kang irrev damag inflict space timeright seem mcu strang hold pattern aveng endgam although sever film tv show made sinc hasnt realli concret indic expect seri head thi even year havent proper buildup main villain take thano antman wasp quantumania least establish thing look forward futur never way distinguish noth rel mediocr entri alreadi expan cinemat universegiven film suppo kick phase surpri excit moment hype audienc previou two antman film contain funniest entertain scene fan like come appreci mcu year yet struggl find anyth remot enjoy could leav impress viewer asid odd dri banter scott amu scene comic relief allevi sever whenev someth bad taken place mcu film abl strike balanc humor dramat one lean heavili dark tone simpli fun watch time filmmak want make darker antman film fine way gone itanoth big problem film goe way far overu cgi though mcu use plenti cgi prior film least tri make look like basi realiti give audienc impress screen could imagin physic right front charact use much mean end whole film look realist star war prequel point quantum realm ever feel like real place inhabit popul variou creatur instead constantli watch actor move around within limit confin assum green screen stage way look plan doesnt match vibrant environ project everyth look clean steril near imposs imagin charact actual locat first thought mayb becom desens cgi gener visual effect kept pile found becom le le invest stori never happen mcu entri nowth cast film fine consid work doubt view best paul rudd still exud likeabl charm scott langantman treat like true hero gener public ill admit nice see underdog like scott final get recognit deserv time especi consid import part play help aveng bring back half univ popul thanoss action scott best scene daughter cassi kathryn newton play role place emma fuhrmann first wasnt sure recast charact newton prove right part physic requir charact seem come natur newton also pretti good chemistri rudd onscreen fatheri somewhat underwhelm evangelin lilli michel pfeiffer michael dougla use time around film antman wasp titl dont realli see enough titular charact thing togeth instead hope mainli hang around parent provid decent scene three bond togeth still seem like strang creativ deci keep separ scott long addit dougla pfeiffer exactli go wast didnt contribut much stori hope werent one crucial scene near end id say hank janet presenc film quit forgett time kept forget care happen scott cassi meantimehowev one charact stood kang conqueror play surprisingli intimid jonathan major anybodi watch first season disney seri loki rememb charact known back remain thi time get better look kang motiv villain determin inflict chao differ multiv major good job conceal kang true person whose vulner use facad malici intent guess like watch kang charact film kind interest end goal tri stop im look forward see kang futur mcu project think potenti threaten thano back infin sagafor begin new chapter mcu antman wasp quantumania doesnt land way previou film tri hard one darker entri seri ant main villain end reli much audienc assumpt thing address detail later point hope guardian galaxi vol next film mcu relea schedul leav better impress long time fan doesnt work rel dull phase rate,positive
